+ Prepare Startup
	- Winsock2 DLL loading 	: OK 
	- Database DLL loading 	: OK 
+ HINT Server Startup 
	- HINT Sensor Server Begin : 	: OK 

# HINT Server Running... #
# New client connected : 04240040608
# New client connected : 04040040604
# Read packet : PT_PRESSURE_SENSOR_SETUP 		: xxxxx4xxx
# Read packet : PT_LED_SENSOR_SETUP 		: xxxxx1xxx
# Read packet : PT_PRESSURE_SENSOR_SETUP 		: xxxxx4xxx
# Read packet : PT_LED_SENSOR_SETUP 		: xxxxx1xxx
# Read packet : PT_PRESSURE_SENSOR_SETUP 		: xxxxx4xxx
# Read packet : PT_LED_SENSOR_SETUP 		: xxxxx1xxx
# Read packet : PT_PRESSURE_SENSOR_SETUP 		: xxxxx4xxx
# Read packet : PT_LED_SENSOR_SETUP 		: xxxxx1xxx
# Read packet : PT_PRESSURE_SENSOR_SETUP 		: xxxxx4xxx
# Read packet : PT_LED_SENSOR_SETUP 		: xxxxx1xxx
# Read packet : PT_PRESSURE_SENSOR_SETUP 		: xxxxx4xxx
# Read packet : PT_LED_SENSOR_SETUP 		: xxxxx1xxx
# Read packet : PT_PRESSURE_SENSOR_SETUP 		: xxxxx4xxx
# Read packet : PT_LED_SENSOR_SETUP 		: xxxxx1xxx
# Read packet : PT_PRESSURE_SENSOR_SETUP 		: xxxxx4xxx
# Read packet : PT_LED_SENSOR_SETUP 		: xxxxx1xxx
# Read packet : PT_PRESSURE_SENSOR_SETUP 		: xxxxx4xxx
# Read packet : PT_LED_SENSOR_SETUP 		: xxxxx1xxx
# Read packet : PT_PRESSURE_SENSOR_SETUP 		: xxxxx4xxx
# Read packet : PT_LED_SENSOR_SETUP 		: xxxxx1xxx
# Read packet : PT_PRESSURE_SENSOR_SETUP 		: xxxxx4xxx
# Read packet : PT_LED_SENSOR_SETUP 		: xxxxx1xxx
# New client connected : 03E40040600
# Read packet : PT_PRESSURE_SENSOR_SETUP 		: xxxxx4xxx
# New client connected : 03C40040596
# Read packet : PT_LED_SENSOR_SETUP 		: xxxxx1xxx
# Read packet : PT_RFID_SENSOR_SETUP 		: xxxxx3xxx
# Read packet : PT_PRESSURE_SENSOR_SETUP 		: xxxxx4xxx
# Read packet : PT_LOCK_SENSOR_SETUP 		: xxxxx2xxx
# Read packet : PT_LED_SENSOR_SETUP 		: xxxxx1xxx
# Read packet : PT_RFID_SENSOR_SETUP 		: xxxxx3xxx
# Read packet : PT_PRESSURE_SENSOR_SETUP 		: xxxxx4xxx
# Read packet : PT_LOCK_SENSOR_SETUP 		: xxxxx2xxx
# Read packet : PT_RFID_SENSOR_SETUP 		: xxxxx3xxx
# Read packet : PT_LED_SENSOR_SETUP 		: xxxxx1xxx
# Read packet : PT_PRESSURE_SENSOR_SETUP 		: xxxxx4xxx
# Read packet : PT_LOCK_SENSOR_SETUP 		: xxxxx2xxx
# Read packet : PT_RFID_SENSOR_SETUP 		: xxxxx3xxx
# Read packet : PT_LED_SENSOR_SETUP 		: xxxxx1xxx
# Read packet : PT_PRESSURE_SENSOR_SETUP 		: xxxxx4xxx
# Read packet : PT_LOCK_SENSOR_SETUP 		: xxxxx2xxx
# Read packet : PT_RFID_SENSOR_SETUP 		: xxxxx3xxx
# Read packet : PT_LED_SENSOR_SETUP 		: xxxxx1xxx
