+ Prepare Startup
	- Winsock2 DLL loading 	: OK 
	- Database DLL loading 	: OK 
+ HINT Server Startup 
	- HINT Sensor Server Begin : 	: OK 

# HINT Server Running... #
# New client connected : 043A0040608
# Read packet : PT_LED_SENSOR_SETUP 		: xxxxx1xxx
# Read packet : PT_LED_SENSOR_SETUP 		: xxxxx1xxx
# Read packet : PT_LED_SENSOR_SETUP 		: xxxxx1xxx
# Read packet : PT_LED_SENSOR_SETUP 		: xxxxx1xxx
# Read packet : PT_LED_SENSOR_SETUP 		: xxxxx1xxx
# Read packet : PT_LED_SENSOR_SETUP 		: xxxxx1xxx
# Read packet : PT_LED_SENSOR_SETUP 		: xxxxx1xxx
# Read packet : PT_LED_SENSOR_SETUP 		: xxxxx1xxx
# Read packet : PT_LED_SENSOR_SETUP 		: xxxxx1xxx
# Read packet : PT_LED_SENSOR_SETUP 		: xxxxx1xxx
# Read packet : PT_LED_SENSOR_SETUP 		: xxxxx1xxx
# Read packet : PT_LED_SENSOR_SETUP 		: xxxxx1xxx
# Read packet : PT_LED_SENSOR_SETUP 		: xxxxx1xxx
# New client connected : 041A0040604
# Read packet : PT_RFID_SENSOR_SETUP 		: xxxxx3xxx
# Read packet : PT_LED_SENSOR_SETUP 		: xxxxx1xxx
# New client connected : 03FA0040600
# New client connected : 03DA0040596
# Read packet : PT_RFID_SENSOR_SETUP 		: xxxxx3xxx
# Read packet : PT_LED_SENSOR_SETUP 		: xxxxx1xxx
# Read packet : PT_PRESSURE_SENSOR_SETUP 		: xxxxx4xxx
# Read packet : PT_LOCK_SENSOR_SETUP 		: xxxxx2xxx
	+ SENSOR_ARDUINO_SETUP_SUCC 
# Read packet : PT_RFID_SENSOR_SETUP 		: xxxxx3xxx
# Read packet : PT_LED_SENSOR_SETUP 		: xxxxx1xxx
# Read packet : PT_LOCK_SENSOR_DATA 		: 1xxxxxxxx
# Read packet : PT_PRESSURE_SENSOR_SETUP 		: xxxxx4xxx
# Read packet : LED_SENSOR_DATA 		: 1xxxxxxxx
# Read packet : PT_RFID_SENSOR_DATA 		: 1xxxx0xxx
# Read packet : PT_PRESSURE_SENSOR_DATA 		: 1xxxxxxxx
# Read packet : PT_LOCK_SENSOR_DATA 		: 1xxxxxxxx
# Read packet : LED_SENSOR_DATA 		: 1xxxxxxxx
# Read packet : PT_RFID_SENSOR_DATA 		: 1xxxx0xxx
# Read packet : PT_PRESSURE_SENSOR_DATA 		: 1xx197xxx
# Read packet : PT_LOCK_SENSOR_DATA 		: 1xxxxxxxx
# Read packet : LED_SENSOR_DATA 		: 1xxxxxxxx
# Read packet : PT_RFID_SENSOR_DATA 		: 1xxxx0xxx
# Read packet : PT_PRESSURE_SENSOR_DATA 		: 1xxxxxxxx
# Read packet : PT_LOCK_SENSOR_DATA 		: 1xxxxxxxx
# Read packet : LED_SENSOR_DATA 		: 1xxxxxxxx
# Read packet : PT_RFID_SENSOR_DATA 		: 1xxxx0xxx
# Read packet : PT_PRESSURE_SENSOR_DATA 		: 1xx145xxx
# Read packet : PT_LOCK_SENSOR_DATA 		: 1xxxxxxxx
# Read packet : LED_SENSOR_DATA 		: 1xxxxxxxx
# Read packet : PT_RFID_SENSOR_DATA 		: 1xxxx0xxx
# Read packet : PT_PRESSURE_SENSOR_DATA 		: 1xx255xxx
# Read packet : PT_LOCK_SENSOR_DATA 		: 1xxxxxxxx
# Read packet : LED_SENSOR_DATA 		: 1xxxxxxxx
# Read packet : PT_PRESSURE_SENSOR_DATA 		: 1xx215xxx
# Read packet : PT_RFID_SENSOR_DATA 		: 1xxxx0xxx
# Read packet : PT_LOCK_SENSOR_DATA 		: 1xxxxxxxx
# Read packet : LED_SENSOR_DATA 		: 1xxxxxxxx
# Read packet : PT_PRESSURE_SENSOR_DATA 		: 1xxx69xxx
# Read packet : PT_RFID_SENSOR_DATA 		: 1xxxx0xxx
# Read packet : PT_LOCK_SENSOR_DATA 		: 1xxxxxxxx
# Read packet : LED_SENSOR_DATA 		: 1xxxxxxxx
# Read packet : PT_PRESSURE_SENSOR_DATA 		: 1xxxxxxxx
# Read packet : PT_RFID_SENSOR_DATA 		: 1xxxx0xxx
# Read packet : PT_LOCK_SENSOR_DATA 		: 1xxxxxxxx
# Read packet : LED_SENSOR_DATA 		: 1xxxxxxxx
# Read packet : PT_PRESSURE_SENSOR_DATA 		: 1xxx5xxxx
# Read packet : PT_RFID_SENSOR_DATA 		: 1xxxx0xxx
# Read packet : PT_LOCK_SENSOR_DATA 		: 1xxxxxxxx
# Read packet : LED_SENSOR_DATA 		: 1xxxxxxxx
# Read packet : PT_PRESSURE_SENSOR_DATA 		: 1xx179xxx
# Read packet : PT_RFID_SENSOR_DATA 		: 1xxxx0xxx
# Read packet : PT_LOCK_SENSOR_DATA 		: 1xxxxxxxx
# Read packet : LED_SENSOR_DATA 		: 1xxxxxxxx
# Read packet : PT_PRESSURE_SENSOR_DATA 		: 1xxxxxxxx
# Read packet : PT_RFID_SENSOR_DATA 		: 1xxxx0xxx
# Read packet : PT_LOCK_SENSOR_DATA 		: 1xxxxxxxx
# Read packet : LED_SENSOR_DATA 		: 1xxxxxxxx
# Read packet : PT_PRESSURE_SENSOR_DATA 		: 1xx139xxx
# Read packet : PT_RFID_SENSOR_DATA 		: 1xxxx0xxx
# Read packet : PT_LOCK_SENSOR_DATA 		: 1xxxxxxxx
# Read packet : LED_SENSOR_DATA 		: 1xxxxxxxx
